CatID	RA_06	DEC_06	round(B_06,8)	round(B_06_ERR,8)	round(V_06,8)	round(V_06_ERR,8)	round(R_06,8)	round(R_06_ERR,8)	round(I_MAG_AUTO_06,8)	AUTO_FLAG_06	round(I_06_ERR,8)	round(I_CFHT_06_ERR,8)	round(Z_06,8)	round(Z_06_ERR,8)	Z_BEST	round(RH,8)	round(LOGMASS_06,8)	Z_USE
6264174.00000000	150.63218689	2.41450095	21.45249939	0.01320000	21.02239990	0.00910000	20.92099953	0.00880000	20.59339905	2.00000000	-999.98999023	0.01840000	20.48189926	0.00770000	0.00500000	2.96082497	8.77999973	4.00000000
6264476.00000000	150.62525940	2.40688300	21.88899994	0.01620000	21.63109970	0.01220000	21.63380051	0.01230000	21.48819923	2.00000000	-999.98999023	0.04020000	21.45599937	0.01340000	0.00500000	11.90281868	8.54800034	4.00000000
6264730.00000000	150.59176636	2.39669704	21.99139977	0.01690000	21.66130066	0.01230000	21.61949921	0.01210000	21.41970062	2.00000000	-999.98999023	0.03980000	21.34849930	0.01210000	0.00500000	2.77988601	8.65200043	4.00000000
6265102.00000000	150.57711792	2.38581204	22.32649994	0.01980000	22.14819908	0.01560000	22.10359955	0.01530000	21.92079926	2.00000000	-999.98999023	0.06900000	21.88470078	0.01690000	0.00500000	2.33748507	8.63599968	4.00000000
6265585.00000000	150.67875671	2.37063003	23.07550049	0.02830000	23.06649971	0.02440000	22.99040031	0.02340000	22.07539940	1.00000000	0.02290000	0.14900000	22.62269974	0.02780000	0.00500000	12.42699528	-999.98999023	4.00000000
6265963.00000000	150.59181213	2.36024499	21.16720009	0.01160000	20.94179916	0.00880000	20.96940041	0.00900000	20.78910065	2.00000000	-999.98999023	0.02300000	20.71120071	0.00860000	0.00500000	2.78474307	8.62100029	4.00000000
6266331.00000000	150.67834473	2.34332895	21.96980095	0.01680000	22.06800079	0.01500000	22.09110069	0.01530000	21.34639931	1.00000000	0.01560000	0.06150000	21.95940018	0.01780000	0.00500000	3.19053292	11.37699986	4.00000000
6267220.00000000	150.57025146	2.31616902	21.73749924	0.01510000	21.42309952	0.01100000	21.41620064	0.01120000	21.12500000	2.00000000	-999.98999023	0.03510000	21.08839989	0.01060000	0.00500000	3.46975303	8.48400021	4.00000000
6267787.00000000	150.63728333	2.29802608	21.97890091	0.01690000	21.70929909	0.01270000	21.68330002	0.01260000	21.52120018	2.00000000	-999.98999023	0.04380000	21.46479988	0.01360000	0.00500000	2.24547195	8.64000034	4.00000000
6268969.00000000	150.42597961	2.43814707	21.58419991	0.01410000	21.31360054	0.01050000	21.25600052	0.01030000	21.09020042	2.00000000	-999.98999023	0.02700000	20.98699951	0.01000000	0.00500000	2.53655505	8.67800045	4.00000000
6269280.00000000	150.41310120	2.43073297	21.02630043	0.01080000	20.68499947	0.00780000	20.56459999	0.00740000	18.91169930	1.00000000	0.00650000	0.01300000	20.11639977	0.00640000	0.00500000	-999.99999999	7.88800001	4.00000000
6269644.00000000	150.55500793	2.40348291	20.80760002	0.00980000	20.88209915	0.00860000	21.00880051	0.00920000	20.02630043	1.00000000	0.00860000	0.02980000	20.72039986	0.00890000	0.00500000	2.40173197	11.79800034	4.00000000
6271558.00000000	150.51072693	2.36706710	20.15480042	0.00730000	19.93980026	0.00560000	19.96290016	0.00570000	19.73609924	2.00000000	-999.98999023	0.00960000	19.78050041	0.00540000	0.00500000	2.99749303	8.36999989	4.00000000
6271940.00000000	150.44735718	2.35424209	20.38369942	0.00810000	20.08230019	0.00590000	20.04070091	0.00590000	19.78630066	2.00000000	-999.98999023	0.00900000	19.73180008	0.00530000	0.00500000	2.95409203	-999.98999023	4.00000000
6272390.00000000	150.52825928	2.33780003	19.84930038	0.00630000	19.60009956	0.00470000	19.61669922	0.00480000	19.34840012	2.00000000	-999.98999023	0.00660000	19.46409988	0.00470000	0.00500000	2.73950505	8.51799965	4.00000000
6272467.00000000	150.55404663	2.33625793	22.84099960	0.02540000	22.29870033	0.01670000	22.16640091	0.01580000	21.82309914	2.00000000	-999.98999023	0.04560000	21.62700081	0.01450000	0.00500000	2.56913710	8.38500023	4.00000000
6274667.00000000	150.30122375	2.45294809	21.18140030	0.01160000	20.80830002	0.00830000	20.73620033	0.00810000	20.39570045	2.00000000	-999.98999023	0.01610000	20.37140083	0.00740000	0.00500000	2.44581509	8.36699963	4.00000000
6274798.00000000	150.27142334	2.44926500	20.77619934	0.00960000	20.40620041	0.00690000	20.34729958	0.00680000	20.01359940	2.00000000	-999.98999023	0.01150000	19.94269943	0.00580000	0.00500000	2.71918607	8.64200020	4.00000000
6274803.00000000	150.37971497	2.44313788	21.70369911	0.01480000	21.45429993	0.01120000	21.38809967	0.01090000	21.02540016	2.00000000	-999.98999023	0.02980000	21.09659958	0.01080000	0.00500000	2.43844795	7.56599998	4.00000000
6277050.00000000	150.34405518	2.38608599	21.31060028	0.01240000	21.02090073	0.00910000	20.98550034	0.00910000	20.75230026	2.00000000	-999.98999023	0.01980000	20.70700073	0.00880000	0.00500000	3.37103391	8.84899998	4.00000000
6278577.00000000	150.27964783	2.33561802	19.87140083	0.00640000	19.59910011	0.00470000	19.58449936	0.00480000	19.29520035	2.00000000	-999.98999023	0.00630000	19.42700005	0.00460000	0.00500000	3.64129806	8.53400040	4.00000000
6278724.00000000	150.30711365	2.33091497	22.32799911	0.01990000	21.99220085	0.01440000	21.83410072	0.01350000	21.58419991	2.00000000	-999.98999023	0.03450000	21.45459938	0.01310000	0.00500000	4.84518480	8.22900009	4.00000000
6278868.00000000	150.37467957	2.32417011	20.12669945	0.00720000	19.86820030	0.00540000	19.91449928	0.00560000	19.63710022	2.00000000	-999.98999023	0.00770000	19.66239929	0.00510000	0.00500000	3.17258406	8.40900040	4.00000000
6278966.00000000	150.39166260	2.32212591	21.13579941	0.01140000	20.88929939	0.00860000	20.90329933	0.00880000	20.64649963	2.00000000	-999.98999023	0.01630000	20.64380074	0.00840000	0.00500000	2.76875305	8.81200027	4.00000000
6279063.00000000	150.31622314	2.31949401	21.74110031	0.01510000	21.49780083	0.01140000	21.48880005	0.01140000	21.34379959	2.00000000	-999.98999023	0.02940000	21.26259995	0.01160000	0.00500000	2.41662097	8.53999996	4.00000000
6279905.00000000	150.20930481	2.45419097	22.61650085	0.02270000	21.90369987	0.01380000	21.60610008	0.01200000	21.20499992	2.00000000	-999.98999023	0.02390000	20.98139954	0.00990000	0.00500000	2.43945408	8.19499969	4.00000000
6280369.00000000	150.07104492	2.43881297	23.71209908	0.03830000	23.81900024	0.03600000	23.42300034	0.02900000	22.41080093	1.00000000	0.02160000	0.07300000	22.46030045	0.02420000	0.00500000	7.67498589	9.91800022	4.00000000
6280474.00000000	150.10699463	2.42917609	21.63730049	0.01440000	21.28190041	0.01030000	21.16990089	0.00980000	20.50799942	1.00000000	0.00970000	0.01840000	20.83340073	0.00900000	0.00500000	2.88572311	8.94600010	4.00000000
6281081.00000000	150.10644531	2.41240811	20.76090050	0.00960000	20.55480003	0.00730000	20.59350014	0.00760000	20.32159996	2.00000000	-999.98999023	0.01140000	20.31410027	0.00690000	0.00500000	2.49195099	8.50100040	4.00000000
6281569.00000000	150.13514709	2.39947295	20.80739975	0.00980000	20.40699959	0.00690000	20.28569984	0.00670000	19.94899940	2.00000000	-999.98999023	0.00890000	19.89559937	0.00560000	0.00500000	2.84551597	8.86400032	4.00000000
